"id","title","slug","definition","inspiction","act","published","content","category_id","parent_id","created_at","updated_at"
"123","Viandes issues d'animaux non atteints de MRLC","viandes-issues-danimaux-non-atteints-de-mrlc","","","","1","","2","","2023-06-03 14:32:46","2023-06-03 14:32:46"
"124","L'actinobacillose ou la langue de bois","lactinobacillose-ou-la-langue-de-bois","<p>C’est une maladie chronique des bovins due à Actinobacillus lignieresi.<br></p>","<p>Les lésions post-mortem de l'actinobacillose sont les suivantes:</p>
<ul>
<li>
<p>Langue hypertrophiée et dure, avec des nodules jaunâtres et des érosions de la muqueuse.</p>
</li>
<li>
<p>Lésions granulomateuses dans les nœuds lymphatiques.</p>
</li>
<li>
<p>Épaississement important de la partie inférieure de l'œsophage et de la paroi intestinale.</p>
</li>
<li>
<p>Plaques surélevées et érosions de la muqueuse de la panse et du réseau.</p>
</li>
<li>
<p>Lésions hépatiques et diaphragmatiques causées par le contact avec le réseau. Les lésions typiques de l'actinobacillose dans les nœuds lymphatiques et les organes consistent en un pus crémeux épais jaune verdâtre contenant des colonies bactériennes en forme de trèfle.</p>
</li>
</ul>","<ul>
<li>
<p>En cas de lésions inflammatoires d’actinobacillose dans les nœuds lymphatiques et le parenchyme pulmonaire en phase de développement actif, la carcasse entière doit être saisie et envoyée à l’équarrissage.</p>
</li>
<li>
<p>Si la maladie est limitée aux nœuds lymphatiques, la carcasse et les abats peuvent être récupérés après une élimination totale de la zone atteinte.</p>
</li>
<li>
<p>Si seule la langue est touchée et qu’aucun nœud lymphatique n’est concerné, la langue doit être saisie, mais la carcasse et ses abats peuvent être libérés.</p>
</li>
</ul>","1","","1","123","2023-06-03 14:38:58","2023-06-03 14:38:58"
"125","La carcasse","la-carcasse","","","","1","","2","","2023-06-03 14:46:33","2023-06-03 14:46:33"
"126","Les ligaments et tendons","les-ligaments-et-tendons","","","","1","<p>L'onchocercose est une parasitose qui affecte les tendons et les ligaments, observée principalement chez le bœuf de boucherie et occasionnellement chez les chevaux.&nbsp;</p><p>Elle se caractérise par des nodules de contenu jaunâtre entourés de tissu fibreux dans les ligaments articulaires, en particulier les ligaments cervicaux et ceux du grasset.&nbsp;</p><p>La conduite à tenir consiste simplement à effectuer un nettoyage de la zone affectée.</p>","1","125","2023-06-03 14:47:33","2023-06-03 14:47:33"
"127","Les séreuses","les-sereuses","","","","1","","3","125","2023-06-03 14:48:19","2023-06-03 14:48:19"
"128","La cysticercose hépato-péritonéale","la-cysticercose-hepato-peritoneale","","","","1","<p>Les vésicules de la cysticercose hépato-péritonéale se forment sur le péritoine pariétal.&nbsp;</p><p>Elles se présentent sous forme de petites sphères remplies de liquide.&nbsp;</p><p>Selon l'importance des lesions, il convient de procéder soit au simple parage, soit à la saisie de la paroi abdominale et du foie.</p>","1","127","2023-06-03 14:48:44","2023-06-03 14:48:44"
"129","La péritonite parasitaire","la-peritonite-parasitaire","","","","1","<p>Les jeunes chevaux peuvent présenter des petits foyers de péritonite parasitaire de faible étendue et à contour irrégulier.&nbsp;</p><p>Ces lésions peuvent être de couleur hémorragique ou jaune verdâtre selon le stade évolutif de l'atteinte; Lorsqu'elles sont incisées, des larves d'helminthes, strongles intestinaux, sont parfois observées, avec une localisation erratique dans la panne.&nbsp;</p><p>La conduite à tenir consiste à parer ou à saisir la paroi abdominale en fonction de l'étendue des lésions.</p>","1","127","2023-06-03 14:49:05","2023-06-03 14:49:05"
"130","Le tissu conjonctif","tissu-conjonctif","","","","1","<p>Chez les bovins, la présence de l'hypodermose se caractérise par des lésions au niveau du tissu conjonctif sous-cutané des épaules, de la paroi thoracique et de la région lombaire, provoquées par la migration larvaire. </p><p>Les lésions se traduisent par des nodules et des œdèmes de couleur brun-vert. </p><p>La conduite à tenir consiste en un simple parage des lésions.</p>","1","125","2023-06-03 14:49:34","2023-06-03 15:05:34"
"131","Tissu musculaire","tissu-musculaire","","","","1","","3","125","2023-06-03 14:54:15","2023-06-03 14:54:15"
"132","La cysticercose musculaire ou la ladrerie","la-cysticercose-musculaire-ou-la-ladrerie","<p>La cysticercose est une maladie parasitaire larvaire affectant le tissu musculaire strié, causée par le développement des larves du ver intestinal Taenia saginata de l'Homme.&nbsp;</p><p>Il est possible de détruire la larve en la soumettant à une température d'au moins 56°C pendant quelques minutes, en la congelant à Ŕ 10°C pendant 10 jours ou en utilisant des rayonnements ionisants (300 à 500 Gray).&nbsp;</p><p>Cette parasitose doit être systématiquement recherchée chez les bovins, les camélins et les porcins dans les zones à risque, en particulier dans le myocarde, la langue, les muscles masticateurs (notamment les masséters) et le diaphragme.</p>","<p>La lésion connue sous le nom de grain de ladre se présente sous une forme caractéristique qui varie en fonction de son stade d’évolution;&nbsp;</p><p>Lors de la forme infestante, on parle de ladrerie banale, où l'on observe une vésicule ellipsoïde de couleur lactescente, ayant une apparence similaire à un grain d'orge et qui est encastrée entre les faisceaux de fibres musculaires.&nbsp;</p><p>Dans les formes dégénérées, on parle de ladrerie sèche. Dans ce cas, le parasite se dégrade, la vésicule se nécrose et entraîne la formation d'un magma jaunâtre entouré d'une coque fibreuse qui se calcifie progressivement.</p>","<p>Le Ministère de l’Agriculture, du Développement Rural et des Eaux et Forêts édicte une conduite à suivre pour les carcasses atteintes de cœnurose. Selon l’Arrêté n°1410-01 du 5 Joumada I 1422 (26 juillet 2001):</p><p>La saisie de la carcasse est obligatoire si l’on dénombre plus d’une vésicule par dm2 dans n’importe quel organe de prédilection ou dans un endroit visible de la carcasse.&nbsp;</p><p>Dans les autres cas d’infestation et si la valeur marchande de la carcasse est suffisante, la récupération de la carcasse est autorisée après assainissement par un traitement approprié.</p><p>Toutefois, cela doit être demandé par le propriétaire de la carcasse dans un délai de 24 heures. Si la récupération est acceptée par le vétérinaire inspecteur, seul la carcasse est soumise à l'assainissement par le froid, c’est-à-dire une exposition à une température maintenue à -10°C ou inférieure sans interruption pendant au moins 10 jours.&nbsp;</p><p>L’estampillage qualitatif et triangulaire de 3 cm de côté portant la lettre ""L"" ne sera effectué qu’après les opérations d'assainissement.</p>","1","","1","131","2023-06-03 14:54:45","2023-06-03 15:16:51"
"133","La trichinellose","la-trichinellose","<p>Example</p>","<p>example</p>","<p>example</p>","1","","1","131","2023-06-03 14:55:07","2023-06-03 14:55:07"
"134","Sarcosporidioses","sarcosporidioses","<p>example</p>","<p>Example</p>","<p>Example</p>","1","","1","131","2023-06-03 14:55:31","2023-06-03 14:55:31"
"135","Le 5ème quartier","le-5eme-quartier","","","","1","","2","","2023-06-03 15:21:48","2023-06-03 15:21:48"
"136","La langue, le coeur, l'oesophage","la-langue-le-coeur-loesophage","","","","1","<p>On y retrouve les parasites des tissus musculaires striés et du tissu conjonctif pour certains<br></p>","1","135","2023-06-03 15:22:19","2023-06-03 15:22:19"
